Reactor Temperature (C),Damkohler Number,Objective
40.0,0.5,0.8383875897259709
45.78947368421053,0.5,0.8440602947818224
51.578947368421055,0.5,0.8560581340400485
57.368421052631575,0.5,0.873911732626768
63.15789473684211,0.5,0.8972267973424395
68.94736842105263,0.5,0.9256721383711743
74.73684210526315,0.5,0.9589594802323284
80.52631578947368,0.5,0.9968216364692838
86.31578947368422,0.5,1.0389942441613316
92.10526315789474,0.5,1.0852038490294076
97.89473684210526,0.5,1.1351627725115803
103.6842105263158,0.5,1.1885695733580521
109.47368421052632,0.5,1.2451132088787662
115.26315789473685,0.5,1.3044790104878672
121.05263157894737,0.5,1.36635499319311
126.8421052631579,0.5,1.430437540350022
132.63157894736844,0.5,1.496435972467423
138.42105263157896,0.5,1.5640758519245226
144.21052631578948,0.5,1.6331010890852855
150.0,0.5,1.7032750248330109
40.0,1.0,0.8383925742433725
45.78947368421053,1.0,0.8292250892223971
51.578947368421055,1.0,0.8258216977255756
57.368421052631575,1.0,0.8277169193759951
63.15789473684211,1.0,0.834469007894321
68.94736842105263,1.0,0.8456877778254228
74.73684210526315,1.0,0.8610501262904423
80.52631578947368,1.0,0.8803028206414519
86.31578947368422,1.0,0.9032544791092987
92.10526315789474,1.0,0.9297604169609257
97.89473684210526,1.0,0.9597045987283856
103.6842105263158,1.0,0.992982386398463
109.47368421052632,1.0,1.0294865640137987
115.26315789473685,1.0,1.0690977775969157
121.05263157894737,1.0,1.1116794267932995
126.8421052631579,1.0,1.157076337898207
132.63157894736844,1.0,1.2051162269134021
138.42105263157896,1.0,1.255612929062888
144.21052631578948,1.0,1.3083705106387142
150.0,1.0,1.3631875912563365
40.0,1.5,0.8563569254807117
45.78947368421053,1.5,0.8400587649970311
51.578947368421055,1.5,0.8287953367285805
57.368421052631575,1.5,0.822260758999745
63.15789473684211,1.5,0.820115440478789
68.94736842105263,1.5,0.8220130780052005
74.73684210526315,1.5,0.8276245788134243
80.52631578947368,1.5,0.836656774406774
86.31578947368422,1.5,0.8488642140213906
92.10526315789474,1.5,0.8640533731772091
97.89473684210526,1.5,0.8820799041111512
103.6842105263158,1.5,0.9028406206893881
109.47368421052632,1.5,0.9262624457177415
115.26315789473685,1.5,0.9522905110291857
121.05263157894737,1.5,0.9808771501478653
126.8421052631579,1.5,1.011972892062762
132.63157894736844,1.5,1.0455199504071162
138.42105263157896,1.5,1.0814482210652536
144.21052631578948,1.5,1.119673490210333
150.0,1.5,1.1600973992246209
40.0,2.0,0.8784411275932164
45.78947368421053,2.0,0.8582251442733321
51.578947368421055,2.0,0.8422665341717842
57.368421052631575,2.0,0.8304044174031164
63.15789473684211,2.0,0.822429261253934
68.94736842105263,2.0,0.8180991176951499
74.73684210526315,2.0,0.8171561141893245
80.52631578947368,2.0,0.8193423691752967
86.31578947368422,2.0,0.8244142109469506
92.10526315789474,2.0,0.8321535053448424
97.89473684210526,2.0,0.8423751470467847
103.6842105263158,2.0,0.854930294605253
109.47368421052632,2.0,0.8697055651897063
115.26315789473685,2.0,0.8866189555227301
121.05263157894737,2.0,0.9056135830870543
126.8421052631579,2.0,0.9266504081461767
132.63157894736844,2.0,0.9497009507127256
138.42105263157896,2.0,0.974740748569616
144.21052631578948,2.0,1.0017440035900724
150.0,2.0,1.0306795984311825
40.0,2.5,0.9020779215037311
45.78947368421053,2.5,0.8796051387599836
51.578947368421055,2.5,0.8606938546251202
57.368421052631575,2.5,0.8452766258304745
63.15789473684211,2.5,0.8332415478722193
68.94736842105263,2.5,0.8244409954961742
74.73684210526315,2.5,0.8187009684121763
80.52631578947368,2.5,0.8158308609049773
86.31578947368422,2.5,0.8156333389137302
92.10526315789474,2.5,0.8179138331183671
97.89473684210526,2.5,0.8224890263737406
103.6842105263158,2.5,0.8291937012128426
109.47368421052632,2.5,0.837885447453794
115.26315789473685,2.5,0.8484469848679768
121.05263157894737,2.5,0.860786162646932
126.8421052631579,2.5,0.8748339754207664
132.63157894736844,2.5,0.890541123363226
138.42105263157896,2.5,0.9078737163229686
144.21052631578948,2.5,0.9268086893697972
150.0,2.5,0.9473293925098697
40.0,3.0,0.9264621784052257
45.78947368421053,3.0,0.9026779449850182
51.578947368421055,3.0,0.8818744172724968
57.368421052631575,3.0,0.8640376951291218
63.15789473684211,3.0,0.8491181028359898
68.94736842105263,3.0,0.8370348951949061
74.73684210526315,3.0,0.8276813947844994
80.52631578947368,3.0,0.8209305041173233
86.31578947368422,3.0,0.8166405369181303
92.10526315789474,3.0,0.8146612615801391
97.89473684210526,3.0,0.8148399644324991
103.6842105263158,3.0,0.817027251509994
109.47368421052632,3.0,0.8210822499595045
115.26315789473685,3.0,0.8268768706338446
121.05263157894737,3.0,0.8342988612327206
126.8421052631579,3.0,0.8432535019230755
132.63157894736844,3.0,0.8536639448963217
138.42105263157896,3.0,0.8654703417241314
144.21052631578948,3.0,0.8786280096037322
150.0,3.0,0.8931049444801318
40.0,3.5,0.9512140581305158
45.78947368421053,3.5,0.9266936224756905
51.578947368421055,3.5,0.9046810639125016
57.368421052631575,3.5,0.8851913512304845
63.15789473684211,3.5,0.8682118356334314
68.94736842105263,3.5,0.8537048651494534
74.73684210526315,3.5,0.8416106901867377
80.52631578947368,3.5,0.8318506058406198
86.31578947368422,3.5,0.8243303080633139
92.10526315789474,3.5,0.8189434499517171
97.89473684210526,3.5,0.8155753685678947
103.6842105263158,3.5,0.8141069157570968
109.47368421052632,3.5,0.8144182784548792
115.26315789473685,3.5,0.8163926291445449
121.05263157894737,3.5,0.8199194199714342
126.8421052631579,3.5,0.8248971351156992
132.63157894736844,3.5,0.8312353486764138
138.42105263157896,3.5,0.8388559945066064
144.21052631578948,3.5,0.8476938285286668
150.0,3.5,0.8576961385133798
40.0,4.0,0.9761032002534694
45.78947368421053,4.0,0.9512140033811283
51.578947368421055,4.0,0.9284499402300351
57.368421052631575,4.0,0.9078406201605116
63.15789473684211,4.0,0.8893945478382101
68.94736842105263,4.0,0.8731006188572442
74.73684210526315,4.0,0.8589298290717692
80.52631578947368,4.0,0.8468371423443578
86.31578947368422,4.0,0.836763486524896
92.10526315789474,4.0,0.8286378666877945
97.89473684210526,4.0,0.8223795940565305
103.6842105263158,4.0,0.8179006265354856
109.47368421052632,4.0,0.815108002647667
